fromNode,toNode,X,Y,numLines,limit,length
344,559,0.01203,83.1255195345,1,1260.0,51.2270409575
344,561,0.01598,62.5782227785,1,1490.0,34.0023974779
344,336,0.0132121647793,75.687823813,2,0.0,25.4670944165
344,566,0.01377,72.6216412491,1,1320.0,34.7555525608
344,356,0.02112,47.3484848485,1,0.0,61.6283577519
344,327,0.00457998214286,218.341462654,2,0.0,28.8790805367
344,350,0.0391302886637,25.5556509842,2,0.0,45.4197741871
345,362,0.15076,6.63305916689,1,0.0,91.7208714055
345,330,0.08952,11.1706881144,1,0.0,59.0791343516
345,353,0.0744,13.4408602151,1,0.0,48.3004379643
345,338,0.1245,8.03212851406,1,0.0,74.6608415009
345,341,0.06672,14.9880095923,1,0.0,42.7238556888
346,334,0.099,10.101010101,1,0.0,68.3048061689
346,350,0.07146,13.9938427092,1,0.0,48.8956384252
347,386,0.14582,6.85776985324,1,0.0,120.910552046
347,352,0.00557,179.533213645,1,0.0,20.9574452106
347,333,0.01543,64.8088139987,1,0.0,28.0195263297
347,396,0.1865,5.36193029491,1,0.0,158.920322996
340,313,0.03624,27.5938189845,1,0.0,81.438872875
340,364,0.04288,23.3208955224,1,0.0,97.8044326954
340,326,0.05007,19.9720391452,1,0.0,37.3286525818
340,349,0.04932,20.2757502028,1,0.0,36.2531076197
340,342,0.01585,63.0914826498,1,0.0,19.5191000076
341,330,0.03805,26.2812089356,1,0.0,18.4081643968
342,358,0.05017,19.9322304166,1,0.0,42.5396513682
343,337,0.05243,19.0730497807,1,0.0,32.9554517292
343,331,0.01978,50.5561172902,1,0.0,24.6860617158
343,321,0.06137,16.2946064853,1,0.0,44.8367856467
343,370,0.046,21.7391304348,1,0.0,68.0359839261
343,328,0.0358,27.9329608939,1,0.0,132.607001226
343,359,0.01109,90.1713255185,1,0.0,50.4570984778
348,313,0.0108127659574,92.4832743015,2,0.0,69.8984101437
348,335,0.03759,26.6028198989,1,0.0,31.2070487094
348,329,0.00843,118.62396204,1,0.0,36.7102703174
348,379,0.14433,6.9285664796,1,0.0,114.094939852
348,378,0.0183529583787,54.4871284164,2,0.0,84.5851928791
349,364,0.08099,12.3472033584,1,0.0,61.570669847
298,278,0.01143,87.489063867,1,0.0,39.8178559453
298,308,0.00515,194.174757282,1,0.0,24.7266811574
298,302,0.04102,24.3783520234,1,0.0,156.370449348
299,310,0.02803,35.6760613628,1,0.0,13.8432241312
296,329,0.01243,80.4505229284,1,0.0,65.8374218642
296,313,0.01581,63.2511068944,1,0.0,56.0765970025
296,333,0.009934928599,100.654976031,2,0.0,66.7392885727
296,289,0.02591,38.5951370127,1,0.0,32.1884050582
296,282,0.01244,80.38585209,1,0.0,44.1807426162
296,292,0.01537,65.0618087183,1,0.0,20.4962719298
297,291,0.01586,63.051702396,1,0.0,19.7294019763
294,295,0.13086,7.64175454684,1,0.0,79.8046337071
294,282,0.12774,7.82840144043,1,0.0,78.7943264071
294,321,0.06199,16.1316341345,1,0.0,47.3987577896
294,276,0.04237,23.6016049091,1,0.0,33.1310198146
295,269,0.05715,17.4978127734,1,0.0,42.8904122468
295,305,0.0833,12.0048019208,1,0.0,55.552583415
295,332,0.08714,11.4757860913,1,0.0,69.7879173616
293,282,0.01654,60.4594921403,1,0.0,24.775965822
290,283,0.05026,19.8965380024,1,0.0,32.2145028168
290,311,0.06392,15.6445556946,1,0.0,45.6640134738
291,275,0.0227,44.0528634361,1,0.0,29.3172726519
270,259,0.06358,15.7282164203,1,0.0,38.0368049137
270,284,0.03847,25.9942812581,1,0.0,25.9729884111
271,267,0.04119,24.2777373149,1,0.0,25.6408359431
272,289,0.02149,46.533271289,1,0.0,34.7258453042
272,279,0.02892,34.5781466113,1,0.0,52.2890213294
272,274,0.0108616943749,92.066667086,2,0.0,24.3841837847
272,256,0.08825,11.3314447592,1,0.0,31.9159608913
272,264,0.00302934210526,330.104677931,2,0.0,26.569029645
273,286,0.0139751803383,71.5554272496,2,0.0,30.7891645093
274,282,0.00553156680313,180.780606217,2,0.0,24.9731460727
274,264,0.01093,91.4913083257,1,0.0,26.2670585638
275,282,0.0227,44.0528634361,1,1000.0,15.8022582944
276,261,0.0366,27.3224043716,1,0.0,30.09066956
277,258,0.00802,124.688279302,1,0.0,35.8495705462
277,282,0.0145,68.9655172414,1,0.0,49.0030197404
278,308,0.08067,12.396181976,1,0.0,61.3589825646
278,283,0.0323110411199,30.9491729558,2,0.0,79.5438762696
278,255,0.00460791149487,217.01805712,2,0.0,42.6255382237
278,254,0.05267,18.9861401177,1,0.0,44.7724469176
278,286,0.0646,15.479876161,1,0.0,106.455605784
279,302,0.0304,32.8947368421,1,0.0,67.7244554356
108,119,0.07594,13.1682907559,1,0.0,35.5048531118
108,104,0.04456,22.4416517056,1,0.0,25.8231206059
109,116,0.03121,32.041012496,1,0.0,39.8577770987
109,142,0.12049,8.29944393726,1,0.0,96.4679761584
109,105,0.04398,22.7376080036,1,0.0,23.2573191527
102,110,0.05339,18.7300992695,1,0.0,32.3708867441
103,128,0.03647,27.4197970935,1,0.0,64.1096047202
103,90,0.06485,15.4202004626,1,0.0,50.4366335598
100,101,0.08493,11.7744024491,1,0.0,55.6130709838
101,111,0.05131,19.4893782888,1,0.0,38.0304917994
101,122,0.0295,33.8983050847,1,0.0,72.4516887077
101,532,0.0424,23.5849056604,1,1650.0,96.7805676203
106,115,0.0319,31.3479623824,1,0.0,27.6552943007
106,96,0.06157,16.241676141,1,0.0,47.3843375743
107,75,0.07719,12.9550459904,1,0.0,106.412770986
107,119,0.0134475294118,74.3631019037,2,0.0,26.1310182251
107,131,0.04107,24.3486729973,1,0.0,63.6918499184
107,97,0.03857,25.926886181,1,0.0,91.9879062943
107,136,0.03916,25.5362614913,1,0.0,83.6726220125
104,120,0.04252,23.5183443086,1,0.0,38.9419374274
104,144,0.02618,38.1970970206,1,0.0,155.227079352
104,97,0.03486,28.6861732645,1,0.0,39.1877687292
104,110,0.03123,32.0204931156,1,0.0,35.2186075806
105,146,0.08242,12.1329774327,1,0.0,176.68613738
105,123,0.10867,9.20217171252,1,0.0,200.173124559
105,140,0.04299,23.2612235404,1,0.0,105.983973481
105,51,0.02751,36.3504180298,1,0.0,143.447114081
105,99,0.0309974857418,32.260681022,2,0.0,42.1784512702
105,114,0.0701,14.2653352354,1,0.0,87.0070475098
105,63,0.23205,4.30941607412,1,0.0,160.249591029
105,116,0.01375,72.7272727273,1,0.0,32.447925272
105,69,0.0196949131945,50.7745319883,3,0.0,136.426408184
105,92,0.21646,4.61979118544,1,0.0,128.788415578
105,95,0.01991,50.2260170768,1,0.0,48.1531731689
1212,1070,0.12648,7.9063883618,1,318.0,50.4544798657
1212,1215,0.03517,28.4333238556,1,0.0,40.6567629701
1213,1211,0.02165,46.1893764434,1,0.0,33.9805083615
1213,1214,0.00626573318216,159.598241886,2,0.0,18.6770521727
1213,1215,0.02746,36.4166059723,1,0.0,52.9843134787
99,88,0.0600215078704,16.6606943991,2,0.0,78.3412116538
98,80,0.14331,6.97788012002,1,0.0,84.2458082808
98,116,0.16496,6.0620756547,1,0.0,99.5783488297
91,80,0.04809,20.7943439384,1,0.0,37.2248735103
90,86,0.0734,13.6239782016,1,0.0,46.3717425892
93,83,0.05018,19.9282582702,1,0.0,38.4246873017
93,122,0.08512,11.7481203008,1,0.0,116.634169834
93,86,0.03013,33.1895121142,1,0.0,28.7399770857
93,118,0.13996,7.14489854244,1,0.0,96.4557929543
93,84,0.10716,9.3318402389,1,0.0,71.8566915029
92,87,0.04796,20.8507089241,1,0.0,26.6068764965
95,146,0.08139,12.2865216857,1,0.0,194.661571955
95,59,0.09639,10.3745201784,1,0.0,183.765770593
